Queried Name,Returned Name,companies._count,companies._start,companies._total,companies.values[0].companyType.code,companies.values[0].companyType.name,companies.values[0].emailDomains._total,companies.values[0].employeeCountRange.code,companies.values[0].employeeCountRange.name,companies.values[0].foundedYear,companies.values[0].id,companies.values[0].industries._total,companies.values[0].industries.values[0].code,companies.values[0].industries.values[0].name,companies.values[0].locations.values[0].address.city,companies.values[0].locations.values[0].address.postalCode,companies.values[0].locations.values[0].address.street1,companies.values[0].locations.values[0].contactInfo.fax,companies.values[0].locations.values[0].contactInfo.phone1,companies.values[0].locations.values[0].isActive,companies.values[0].locations.values[0].isHeadquarters,companies.values[0].locations.values[1].address.city,companies.values[0].locations.values[1].address.postalCode,companies.values[0].locations.values[1].address.street1,companies.values[0].locations.values[1].contactInfo.fax,companies.values[0].locations.values[1].contactInfo.phone1,companies.values[0].locations.values[1].isActive,companies.values[0].locations.values[1].isHeadquarters,companies.values[0].locations.values[2].address.city,companies.values[0].locations.values[2].address.postalCode,companies.values[0].locations.values[2].address.street1,companies.values[0].locations.values[2].contactInfo.fax,companies.values[0].locations.values[2].contactInfo.phone1,companies.values[0].locations.values[2].isActive,companies.values[0].locations.values[2].isHeadquarters,companies.values[0].numFollowers,companies.values[0].specialties._total,companies.values[0].specialties.values[0],companies.values[0].specialties.values[10],companies.values[0].specialties.values[11],companies.values[0].specialties.values[12],companies.values[0].specialties.values[13],companies.values[0].specialties.values[14],companies.values[0].specialties.values[15],companies.values[0].specialties.values[16],companies.values[0].specialties.values[17],companies.values[0].specialties.values[18],companies.values[0].specialties.values[19],companies.values[0].specialties.values[1],companies.values[0].specialties.values[20],companies.values[0].specialties.values[21],companies.values[0].specialties.values[22],companies.values[0].specialties.values[23],companies.values[0].specialties.values[24],companies.values[0].specialties.values[25],companies.values[0].specialties.values[26],companies.values[0].specialties.values[27],companies.values[0].specialties.values[28],companies.values[0].specialties.values[29],companies.values[0].specialties.values[2],companies.values[0].specialties.values[30],companies.values[0].specialties.values[31],companies.values[0].specialties.values[32],companies.values[0].specialties.values[33],companies.values[0].specialties.values[34],companies.values[0].specialties.values[35],companies.values[0].specialties.values[36],companies.values[0].specialties.values[37],companies.values[0].specialties.values[3],companies.values[0].specialties.values[4],companies.values[0].specialties.values[5],companies.values[0].specialties.values[6],companies.values[0].specialties.values[7],companies.values[0].specialties.values[8],companies.values[0].specialties.values[9],companies.values[0].status.code,companies.values[0].status.name,companies.values[0].twitterId,companies.values[0].websiteUrl
ALERTA CONTROL S.A.C.,SAC SEGURIDAD,1,2,3,C,Public Company,0,D,51-200,2008,2036569,1,121,Seguridad e investigaciones,TOLEDO,45008,C/ AZUCENA 25,N/A,902104884,True,False,,,,,,,,,,,,,,,153,4,Seguridad Física (Vigilantes de Seguridad con y sin arma),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Seguridad Pasiva: Sistemas Contra Incendios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Central Receptora de Alarmas, Sistemas Anti-Hurto,",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Control de accesos,Circuito Cerrado de Televisión",N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,www.sacseguridad.es
ALQUILER DE MAQUINARIAS Y EQUIPOS DE CONSTRUCCION COAL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITAD,RASMIN MINERIA Y CONSTRUCCION SAC,1,0,34,P,Privately Held,0,B,2-10,2004,1697194,1,56,Minería y metalurgia,LIMA,LIMA03,CAL. 18 MZA. Ñ5 APV. COMPRADORES DE TERRENOS DE CAMPOY - SAN JUAN DE LURIGANCHO,N/A,3860167,True,False,,,,,,,,,,,,,,,1059,4,BOMBA MARS EN SUS DIFERENTE MODELOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,REPARACION Y MANTENIMIENTO DE PERFORADORAS DIFERENTES MODELOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FABRICACION DE CUALQUIER COMPONTE MINERO O DE CONSTRUCCION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CONTRATISTA MINERO EN RELLENO HIDRAULICO Y EVACUACION DE RELAVE,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,http://twitter.com/rasminsac#,www.gruporasmin.com
ALTERNATIVA MUJER - ALMUR,FARRUTX VERT INVERSIONES S.L,1,1,23,P,Privately Held,0,D,51-200,1982,2254920,1,19,Industria textil y moda,,,,,,,,INCA,07300,CARRER DES TREN 72-74,(+34) 971 50 50 01,(+34) 971 50 18 66,True,False,,,,,,,,1388,2,CALZADO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PIEL Y ACCESORIOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,www.farrutx.com
ALVITES INVERSIONES SAC,ALVITES INVERSIONES SAC - SOLUCIONES MODULARES,N/A,N/A,1,S,Partnership,0,B,2-10,2017,11348644,1,48,Construcción,LIMA,01,AV. 1 DE MAYO NRO. 179 P.J. REYNOSO PROV. CONST. DEL CALLAO - CARMEN DE LA LEGUA REYNOSO,N/A,N/A,True,True,,,,,,,,,,,,,,,2,1,"PROYECTOS MODULARES, MÓDULOS PREFABRICADOS, MÓDULOS CONTENEDORES, CONTENEDORES DRY & REEFER, CONSTRUCCIÓN MODULAR y CAMPAMENTOS MINEROS",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,www.alvitesinversiones.com
AMERICA PYME S.A.,Eurocentro NAFIN Mexico,1,1,8,C,Public Company,0,C,11-50,1994,1976735,1,59,Servicios públicos,DF,01020,"Av. Insurgentes Sur 1971 Local 340 Nivel Paseo , Plaza Inn , Col. Guadalupe Inn Del. Alvaro Obregon",N/A,52 55 53256674,True,True,,,,,,,,,,,,,,,947,4,Capacitacion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Misiones Empresariales,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Agendas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Estudios de Mercado,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,@eurocentronafin,www.eurocentro.mx
ANDEAN RESOURCES S.A.C.,WIRACCOCHA DEL PERU S.A.C.,1,1,4,P,Privately Held,0,C,11-50,2008,11416868,1,34,Alimentación y bebidas,AYACUCHO,05000,AV. AVIACION,N/A,N/A,True,True,,,,,,,,,,,,,,,145,8,ANDEAN GRAINS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,QUINOA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CHIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,AMARANTH,cacao,golden berry,maca,organic products,N/A,N/A,N/A,N/A,N/A,http://www.wiraccocha.com.pe/en/
AQUA S.R.L.,AQUA S.R.L. - IN LIQUIDAZIONE,1,2,18,N/A,N/A,0,C,11-50,N/A,24731380,1,25,Artículos de consumo,SALO,25087,VIA SALITA SANTA GIUSTINA 1,N/A,N/A,True,False,,,,,,,,,,,,,,,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ARGUS PERU TECHNOLOGIES & ENGINEERING SAC,Argus Peru Technologies & Engineering SAC - Soluciones en TI,N/A,N/A,1,P,Privately Held,0,E,201-500,2000,2864426,1,96,Servicios y tecnología de la información ,LIMA,LIMA 33,Ca. Jorge Basadre 1485 - San Isidro,N/A,N/A,True,True,,,,,,,,,,,,,,,57,4,ESTUDIOS DE EFICIENCIA EN SSE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Tecnología de información,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Innovación & Desarrollo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Desarrollo de Soluciones,N/A,N/A,N/A,N/A,N/A,N/A,ACQ,Acquired,N/A,www.argus-tek.com
ARQUITECTURA COMERCIAL S.A.C,G Y C GROUP SERVICE,1,2,7,P,Privately Held,0,C,11-50,2008,2781679,1,123,Subcontrataciones/Offshoring,LIMA,054,Las Casuarianas A-5 JLByR,N/A,054-766754,True,True,,,,,,,,,,,,,,,69,4,Marketing BTL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arquitectura de Edificaciones,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arquitectura Comercial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Servicios Generales,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,www.gycgrupo.com
ASESORIA PROFESIONAL CONTABLE S.A.C.,A & C SERVICIOS Y CONSULTORIAS EMPRESARIALES,1,0,30,P,Privately Held,0,B,2-10,2013,13450370,1,47,Contabilidad,LIMA,012 LA MOLINA, Cal. los Sauces ,N/A,N/A,True,True,,,,,,,,,,,,,,,2,4,CONTABILIDAD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RR.HH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PLANILLA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ASESORIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
