employeeCountRange,locations,name,websiteUrl
"{'code': 'I', 'name': '10001+'}","{'_total': 4, 'values': [{'address': {'city': 'Herzogenaurach', 'postalCode': '91074', 'street1': 'World of Sports'}, 'contactInfo': {}}, {'address': {'city': 'Costa del Este', 'postalCode': '00000', 'street1': 'adidas Latin America, S.A., Ave. Principal y Ave. La Rotonda, Torre Sur – 4th Floor'}, 'contactInfo': {}}, {'address': {'city': 'Portland', 'postalCode': '97217', 'street1': 'adidas America, Inc., 5055 N Greeley Avenue'}, 'contactInfo': {}}, {'address': {'city': 'Amsterdam', 'postalCode': '1101', 'street1': 'adidas International Marketing B.V. and adidas International Trading B.V., Hoogoorddreef 9-A '}, 'contactInfo': {}}]}",adidas,http://www.adidas-group.com/
,,Adidas,
"{'code': 'I', 'name': '10001+'}","{'_total': 1, 'values': [{'address': {'city': 'karnataka ', 'postalCode': '560076', 'street1': 'btm layout '}, 'contactInfo': {}}]}",Adidas,https://www.adidas.com
"{'code': 'G', 'name': '1001-5000'}","{'_total': 1, 'values': [{'address': {'city': 'Linz', 'postalCode': '4021', 'street1': 'Ellbognerstrasse 24'}, 'contactInfo': {'fax': '', 'phone1': ''}}]}",adidas Eyewear,http://www.adidas.com/eyewear
"{'code': 'B', 'name': '2-10'}","{'_total': 2, 'values': [{'address': {'city': 'OCEANSIDE', 'postalCode': '11572', 'street1': '3800 W OCEANSIDE RD'}, 'contactInfo': {'fax': '(877) 370-6301', 'phone1': '877 221-8282'}}, {'address': {'postalCode': '', 'street1': ''}, 'contactInfo': {'fax': '', 'phone1': ''}}]}",adidas Combat Sports USA,www.acsgear.com
"{'code': 'C', 'name': '11-50'}","{'_total': 1, 'values': [{'address': {'city': 'Tenerife', 'postalCode': '', 'street1': 'C.C. Gala, locales 4 y 6 - Playa de las Américas'}, 'contactInfo': {'fax': '', 'phone1': '822201301'}}]}",adidas store Tenerife,http://www.adidastenerife.com
"{'code': 'C', 'name': '11-50'}","{'_total': 1, 'values': [{'address': {'city': 'Chicago', 'postalCode': '60611-1410', 'street1': '923 N Rush St'}, 'contactInfo': {'phone1': '+1 3129320651'}}]}",Adidas Retail,
"{'code': 'C', 'name': '11-50'}","{'_total': 1, 'values': [{'address': {'city': 'Abensberg', 'postalCode': '93326', 'street1': 'Rudolf Diesel-Str. 2'}, 'contactInfo': {'fax': '+49 - (0)9443 - 700391', 'phone1': '+49 - (0)9443 - 700389'}}]}",adidas Ippon-Shop,www.ippon-shop.com
"{'code': 'C', 'name': '11-50'}","{'_total': 1, 'values': [{'address': {'city': 'Monza', 'postalCode': '20052', 'street1': 'Via Monte Santo 1'}, 'contactInfo': {'phone1': '+39 3903927151'}}]}",ADIDAS ITALY SPA,
"{'code': 'D', 'name': '51-200'}","{'_total': 1, 'values': [{'address': {'city': 'TAI KOO SHING', 'street1': '10/F Cityplaza Four'}, 'contactInfo': {'phone1': '+852 23028888'}}]}",adidas Sourcing Limited,
