employeeCountRange,name,websiteUrl
"{'code': 'B', 'name': '2-10'}",Reed Recruiting Group is now apart of Apple & Assocsiates,http://www.appleassoc.com/
"{'code': 'G', 'name': '1001-5000'}",Talgo,www.talgo.com
"{'code': 'E', 'name': '201-500'}",TechJini,http://www.techjini.com
"{'code': 'D', 'name': '51-200'}",Vibes,www.vibes.com
"{'code': 'D', 'name': '51-200'}",Magzter,www.magzter.com
"{'code': 'E', 'name': '201-500'}",Payscape,www.payscape.com
"{'code': 'C', 'name': '11-50'}",All About Apple,www.allaboutapple.com
"{'code': 'E', 'name': '201-500'}",NH Learning Solutions Corporation,www.nhls.com
"{'code': 'B', 'name': '2-10'}","Go To Travel Guides - Travel Apps for iPhone, iPad, Android, Apple TV & Amazon Fire TV Stick",http://www.gototravelguides.net
"{'code': 'D', 'name': '51-200'}",Other World Computing,http://www.macsales.com
