employeeCountRange,locations,name,websiteUrl
"{'code': 'I', 'name': '10001+'}","{'_total': 2, 'values': [{'address': {'city': 'Madrid', 'postalCode': '28042', 'street1': 'Ribera del Loira, 60'}, 'contactInfo': {'fax': '', 'phone1': '91.213.1000'}}, {'address': {'postalCode': '', 'street1': ''}, 'contactInfo': {'fax': '', 'phone1': ''}}]}",Endesa,www.endesa.com
"{'code': 'D', 'name': '51-200'}","{'_total': 1, 'values': [{'address': {'postalCode': '', 'street1': ''}, 'contactInfo': {'fax': '', 'phone1': ''}}]}",Endesa Ingenieria,www.endesaingenieria.com
"{'code': 'I', 'name': '10001+'}",,Endesa Chile hoy Enel Generación Chile,www.enelgeneracion.cl
"{'code': 'C', 'name': '11-50'}","{'_total': 2, 'values': [{'address': {'city': 'Paris', 'postalCode': '75002', 'street1': '16, rue Gaillon'}, 'contactInfo': {'fax': '+33144710838', 'phone1': '+33144710757'}}, {'address': {'city': 'Lyon', 'postalCode': '69003', 'street1': '19, Av Georges Pompidou'}, 'contactInfo': {'fax': '', 'phone1': ''}}]}",Endesa Energía Succursale France,www.endesa.fr
"{'code': 'C', 'name': '11-50'}","{'_total': 1, 'values': [{'address': {'city': 'Madrid', 'postalCode': '28042', 'street1': 'Ribera del Loira 60'}, 'contactInfo': {'fax': '', 'phone1': '912134912'}}]}",Endesa Carbono,www.endesa.com
"{'code': 'D', 'name': '51-200'}","{'_total': 1, 'values': [{'address': {'postalCode': 'Dublin 4'}, 'contactInfo': {}}]}",Endesa Ireland Ltd.,www.endesaireland.ie
,,ENDESA - ENCHAPES DECORATIVOS S.A.,www.endesabotrosa.com
"{'code': 'C', 'name': '11-50'}","{'_total': 1, 'values': [{'address': {'city': 'Madrid', 'postalCode': '28046', 'street1': 'Paseo de la Castellana 95'}, 'contactInfo': {}}]}",Endesa Marketplace opciona.com,
,"{'_total': 1, 'values': [{'address': {'postalCode': 'WC1R 4JS', 'street1': '20-22 BEDFORD ROW LONDON'}, 'contactInfo': {}}]}",ENDESA POWER TRADING LIMITED,
"{'code': 'F', 'name': '501-1000'}","{'_total': 1, 'values': [{'address': {'postalCode': '11001'}, 'contactInfo': {}}]}",Grupo Endesa,www.endesa.com.co
