employeeCountRange,name,websiteUrl
"{'code': 'I', 'name': '10001+'}",Jaguar,http://www.jaguar.com/
,Jaguar,
"{'code': 'I', 'name': '10001+'}",Jaguar Land Rover,www.jaguarlandrovercareers.com
"{'code': 'F', 'name': '501-1000'}",Jaguar Land Rover Africa,www.landrover-africa.com
"{'code': 'I', 'name': '10001+'}",Jaguar Land Rover América Latina e Caribe,http://www.jaguarlandrover.com/gl/en/
"{'code': 'I', 'name': '10001+'}",Jaguar South Africa,http://www.jaguar.com/za/en/
"{'code': 'D', 'name': '51-200'}",Jaguar Land Rover Espana,http://www.fleet-business.jaguarlandrover.com/es/es/
"{'code': 'E', 'name': '201-500'}",Jaguar Land Rover North America,www.jaguarlandrover.com
"{'code': 'D', 'name': '51-200'}",Jaguar Land Rover Italia,http://www.fleet-business.jaguarlandrover.com/it/it/
"{'code': 'I', 'name': '10001+'}",Jaguar Land Rover UK,https://www.jaguarlandrover.com
"{'code': 'D', 'name': '51-200'}",Jaguar Land Rover France,http://www.fleet-business.jaguarlandrover.com/fr/fr/
"{'code': 'G', 'name': '1001-5000'}",Jaguar Mining Inc.,www.jaguarmining.com.br
"{'code': 'D', 'name': '51-200'}",JAGUAR NETWORK,http://www.jaguar-network.com
"{'code': 'F', 'name': '501-1000'}",Jaguar / Aston Martin of Tampa,www.jaguaroftampa.com
"{'code': 'G', 'name': '1001-5000'}",Jaguar Plásticos,www.jaguarplasticos.com.br
"{'code': 'D', 'name': '51-200'}",Jaguar Land Rover Deutschland,http://www.fleet-business.jaguarlandrover.com/de/de/
"{'code': 'E', 'name': '201-500'}",Jaguar Building Services Ltd,www.jbs-ltd.co.uk
"{'code': 'D', 'name': '51-200'}",Jaguar Land Rover Nederland,www.fleet-business.jaguarlandrover.com/nl/nl/
"{'code': 'D', 'name': '51-200'}",Jaguar Freight Services,www.jaguarfreight.com
"{'code': 'D', 'name': '51-200'}",Jaguar Land Rover Belux,http://www.fleet-business.jaguarlandrover.com/be
"{'code': 'C', 'name': '11-50'}",Jaguar Exploración y Producción ,http://www.jaguar-ep.com/
"{'code': 'C', 'name': '11-50'}",Jaguar Health,http://jaguar.health
"{'code': 'C', 'name': '11-50'}","Jaguar, The Fresh Company B.V.",www.jaguarthefreshcompany.nl
"{'code': 'C', 'name': '11-50'}",Jaguar Printing Press llc,www.jaguarprintingpress.com
"{'code': 'C', 'name': '11-50'}",Jaguar Land Rover San Juan,www.jlrofsj.com
"{'code': 'E', 'name': '201-500'}",Jaguar Land Rover Australia,http://www.jaguarlandrover.com/
"{'code': 'D', 'name': '51-200'}",Jaguar Pakistan Pvt. Limited,www.jppl.info
"{'code': 'C', 'name': '11-50'}",Jaguar Land Rover Ireland,www.jaguarlandrover.ie
"{'code': 'C', 'name': '11-50'}",Jaguar Growth Partners,http://www.jaguargrowth.com/
"{'code': 'C', 'name': '11-50'}",Jaguar Land Rover Stockholm,www.britishmotorgroup.se
"{'code': 'D', 'name': '51-200'}",Jaguar Land Rover Centurion,http://www.jlrcenturion.co.za/
"{'code': 'C', 'name': '11-50'}",Jaguar Land Rover | Knook Breda,http://www.knook-jaguarlandrover.nl/
"{'code': 'C', 'name': '11-50'}",Jaguar Land Rover Experience Solihull,http://www.solihull.landroverexperience.co.uk/
"{'code': 'C', 'name': '11-50'}",Jaguar Hospitality Services Corp,www.jaguarhospitality.com
"{'code': 'D', 'name': '51-200'}",Jaguar of Troy,www.jaguaroftroy.com
"{'code': 'G', 'name': '1001-5000'}",Jaguar Security Services Pvt. Ltd.,http://www.jaguarsecurity.in/
"{'code': 'D', 'name': '51-200'}",Jaguar Labs,http://jaguarlabs.com/
"{'code': 'C', 'name': '11-50'}",Jaguar Land Rover Asse,www.jaguarasse.be
"{'code': 'D', 'name': '51-200'}",Jaguar Land Rover Polokwane,http://www.polokwane.landrover.co.za/
"{'code': 'D', 'name': '51-200'}",Jaguar Palm Beach,www.jaguarpalmbeach.com
"{'code': 'D', 'name': '51-200'}",JAGUAR LAND ROVER Top Car - welcome to the Top,http://www.topcar.landrover.com.br/
"{'code': 'D', 'name': '51-200'}",Jaguar Communications,
"{'code': 'C', 'name': '11-50'}",Jaguar Racing,jaguarracing.com
"{'code': 'B', 'name': '2-10'}",JAGUAR TREVISO,www.jaguartreviso.it
"{'code': 'G', 'name': '1001-5000'}",Jaguar Land Rover Türkiye,www.borusanotomotiv.com
"{'code': 'C', 'name': '11-50'}",Jaguar Land Rover Danmark,www.jaguar.dk
"{'code': 'D', 'name': '51-200'}",Jaguar Automóveis Sa,www.jaguarautomoveis.pt
"{'code': 'D', 'name': '51-200'}",Jaguar Landrover Madison,
"{'code': 'B', 'name': '2-10'}",Jaguar Ventures,www.jaguarvc.com
"{'code': 'B', 'name': '2-10'}",JAGUAR EXPLORATION INC,http://jaguarexp.com
"{'code': 'D', 'name': '51-200'}",Jaguar Land Rover Brussels,
"{'code': 'C', 'name': '11-50'}","Jaguar Fueling Services, LLC.",http://www.jaguarfueling.com
"{'code': 'C', 'name': '11-50'}",Jaguar Land Rover Fairfield,www.jlrfairfield.com
"{'code': 'C', 'name': '11-50'}",Jaguar Media,www.jaguar-media.com
"{'code': 'D', 'name': '51-200'}",Jaguar Marin,www.jaguarmarin.com
"{'code': 'C', 'name': '11-50'}",Jaguar Land Rover of Carlsbad,www.jaguarlandrovercarlsbad.com
"{'code': 'D', 'name': '51-200'}","Jaguar Energy Services, LLC",http://jaguar-energy.com
,Jaguar Land Rover Austin,
"{'code': 'C', 'name': '11-50'}",Jaguar Land Rover Polska,www.jlrpolska.pl
"{'code': 'C', 'name': '11-50'}",Jaguar Perú,www.jaguarperu.pe
