employeeCountRange,locations,name,websiteUrl
"{'code': 'I', 'name': '10001+'}","{'_total': 49, 'values': [{'address': {'city': 'Redmond', 'postalCode': '98052', 'street1': '1 Microsoft Way'}, 'contactInfo': {'fax': '', 'phone1': '(800) MICROSOFT'}}, {'address': {'city': 'Mississauga', 'postalCode': 'L5N 8L9', 'street1': '1950 Meadowvale Blvd'}, 'contactInfo': {}}, {'address': {'city': 'Reno', 'postalCode': '89511', 'street1': '6100 Neil Rd'}, 'contactInfo': {}}, {'address': {'city': 'Omaha', 'postalCode': '68106', 'street1': 'S 67th St'}, 'contactInfo': {}}, {'address': {'city': 'Buffalo', 'postalCode': '14225', 'street1': '1 Walden Galleria'}, 'contactInfo': {}}, {'address': {'city': 'Manchester', 'postalCode': 'M1 4ET', 'street1': '9 Charlotte Street'}, 'contactInfo': {}}, {'address': {'city': 'Boca Raton', 'postalCode': '33431', 'street1': '6000 Glades Rd'}, 'contactInfo': {}}, {'address': {'city': 'Kista', 'postalCode': '164 74', 'street1': 'Finlandsgatan 36'}, 'contactInfo': {}}, {'address': {'city': 'Southern', 'street1': 'Cyberport Rd'}, 'contactInfo': {}}, {'address': {'city': 'JONGNOGU', 'street1': '50'}, 'contactInfo': {}}, {'address': {'city': 'Fort Lauderdale', 'postalCode': '33309', 'street1': '6750 N Andrews Ave'}, 'contactInfo': {}}, {'address': {'city': 'Portland', 'postalCode': '97204', 'street1': '300 SW Yamhill St'}, 'contactInfo': {}}, {'address': {'city': 'Las Vegas', 'postalCode': '89109', 'street1': '3200 S Las Vegas Blvd'}, 'contactInfo': {}}, {'address': {'city': 'Wellington', 'postalCode': '6011', 'street1': '157 Lambton Quay'}, 'contactInfo': {}}, {'address': {'city': 'Lisbon', 'postalCode': '1990-110', 'street1': 'Rua do Fogo de Santelmo 2'}, 'contactInfo': {}}, {'address': {'city': 'Cambridge', 'postalCode': 'CB1 2FB', 'street1': 'Station Road'}, 'contactInfo': {}}, {'address': {'city': 'Indianapolis', 'postalCode': '46240', 'street1': '8701 Keystone Crossing'}, 'contactInfo': {}}, {'address': {'city': 'Southfield', 'postalCode': '48075', 'street1': '1000 Town Center'}, 'contactInfo': {}}, {'address': {'city': 'Espoo', 'postalCode': '02150', 'street1': 'Keilalahdentie 2'}, 'contactInfo': {}}, {'address': {'city': 'Kongens Lyngby', 'postalCode': '2800', 'street1': 'Kanalvej 7'}, 'contactInfo': {}}, {'address': {'city': 'Brisbane', 'postalCode': '4000', 'street1': '400 George St'}, 'contactInfo': {}}, {'address': {'city': 'San Diego', 'postalCode': '92108', 'street1': '7007 Friars Rd'}, 'contactInfo': {}}, {'address': {'city': 'Irving', 'postalCode': '75039', 'street1': '7000 State Highway 161'}, 'contactInfo': {}}, {'address': {'city': 'Melbourne', 'postalCode': '3006', 'street1': '2-10 Freshwater Pl'}, 'contactInfo': {}}, {'address': {'city': 'Santa Clara', 'postalCode': '95050', 'street1': '2855 Stevens Creek Blvd'}, 'contactInfo': {}}, {'address': {'city': 'Berlin', 'postalCode': '10117', 'street1': 'Unter den Linden 17'}, 'contactInfo': {}}, {'address': {'city': 'Sydney', 'postalCode': '2000', 'street1': '188 Pitt St'}, 'contactInfo': {}}, {'address': {'city': 'Canberra', 'postalCode': '2600', 'street1': '6 National Cirt'}, 'contactInfo': {}}, {'address': {'city': 'Cologne', 'postalCode': '50678', 'street1': 'Holzmarkt 2'}, 'contactInfo': {}}, {'address': {'city': 'Dublin', 'street1': 'Carmanhall Road'}, 'contactInfo': {}}, {'address': {'city': 'Taipei City', 'postalCode': '110', 'street1': 'No. 68, Sec 5, Zhong Xiao E. Rd.'}, 'contactInfo': {}}, {'address': {'city': 'Ljubljana', 'postalCode': '1000', 'street1': 'Smartinska cesta 140'}, 'contactInfo': {}}, {'address': {'city': 'Makati', 'street1': 'Ayala Ave'}, 'contactInfo': {}}, {'address': {'city': 'Singapore', 'postalCode': '018989', 'street1': '1 Marina Blvd'}, 'contactInfo': {}}, {'address': {'city': 'Zaventem', 'postalCode': '1930', 'street1': 'Leonardo da Vincilaan 3'}, 'contactInfo': {}}, {'address': {'city': 'Palo Alto', 'postalCode': '94304', 'street1': '186 Stanford Shopping Center'}, 'contactInfo': {}}, {'address': {'city': 'Irvine', 'postalCode': '92614', 'street1': '3 Park Plaza'}, 'contactInfo': {}}, {'address': {'city': 'Vitacura', 'postalCode': '7630000', 'street1': 'Avenida Vitacura 6844'}, 'contactInfo': {}}, {'address': {'city': 'Rome', 'postalCode': '00144', 'street1': 'Viale Avignone'}, 'contactInfo': {}}, {'address': {'city': 'Belgrade', 'postalCode': '11070', 'street1': 'Ulica Spanskih boraca 3'}, 'contactInfo': {}}, {'address': {'city': 'Ely', 'postalCode': 'CB7 5DY', 'street1': '21 Station Road'}, 'contactInfo': {}}, {'address': {'city': 'Stuttgart', 'postalCode': '70563', 'street1': 'Meitnerstrasse'}, 'contactInfo': {}}, {'address': {'city': 'Milan', 'postalCode': '20154', 'street1': 'Viale Pasubio, 21'}, 'contactInfo': {}}, {'address': {'city': 'London', 'postalCode': 'W2 6BL', 'street1': '2 Kingdom Street'}, 'contactInfo': {}}, {'address': {'city': 'Malvern', 'postalCode': '19355', 'street1': '45 Liberty Blvd'}, 'contactInfo': {}}, {'address': {'city': 'Warsaw', 'postalCode': '02-222', 'street1': 'Aleje Jerozolimskie 195A'}, 'contactInfo': {}}, {'address': {'city': 'Jacksonville', 'postalCode': '32246', 'street1': '4791 River City Dr'}, 'contactInfo': {}}, {'address': {'city': 'Auckland', 'postalCode': '1010', 'street1': '22 Viaduct Harbour Ave'}, 'contactInfo': {}}, {'address': {'city': 'Mountain View', 'postalCode': '94043', 'street1': '1288 Pear Ave'}, 'contactInfo': {}}]}",Microsoft,http://www.microsoft.com/
"{'code': 'C', 'name': '11-50'}","{'_total': 1, 'values': [{'address': {'city': 'Belo Horizonte', 'postalCode': '31980-110', 'street1': 'Rua Walter Ianni, 255, Bairro São Gabriel'}, 'contactInfo': {'fax': '', 'phone1': '(31) 3439-5217'}}]}",Microsoft Innovation Center PUC Minas,www.icei.pucminas.br
"{'code': 'I', 'name': '10001+'}","{'_total': 3, 'values': [{'address': {'city': 'Redmond', 'postalCode': '98052', 'street1': '1 Microsoft Way'}, 'contactInfo': {'fax': '', 'phone1': ''}}, {'address': {'postalCode': '', 'street1': ''}, 'contactInfo': {'fax': '', 'phone1': ''}}, {'address': {'postalCode': '', 'street1': ''}, 'contactInfo': {'fax': '', 'phone1': ''}}]}",Microsoft Advanced Analytics,https://www.microsoft.com/en-us/server-cloud/advanced-analytics/overview.aspx
"{'code': 'B', 'name': '2-10'}","{'_total': 2, 'values': [{'address': {'city': 'Redmond', 'postalCode': '98073', 'street1': 'One Microsoft Way'}, 'contactInfo': {'fax': '', 'phone1': '425-885-3500'}}, {'address': {'city': 'Redmond', 'postalCode': '98073', 'street1': 'PO Box 3474'}, 'contactInfo': {'fax': '', 'phone1': ''}}]}",Microsoft Alumni Network,http://www.microsoftalumni.com
"{'code': 'G', 'name': '1001-5000'}",,Microsoft Student Partners Bangladesh,http://msp.net.bd
"{'code': 'A', 'name': 'myself only'}",,Microsoft Student Partner Network In Bangladesh,http://www.facebook.com/mspnetbd
"{'code': 'C', 'name': '11-50'}","{'_total': 1, 'values': [{'address': {'city': 'Iasi', 'postalCode': '', 'street1': 'General Berthelot, 16'}, 'contactInfo': {'fax': '', 'phone1': ''}}]}",Microsoft Student Partners UAIC,http://ms.info.uaic.ro/
"{'code': 'C', 'name': '11-50'}","{'_total': 1, 'values': [{'address': {'city': 'Kirkland', 'postalCode': '98033', 'street1': '1410 Market Street'}, 'contactInfo': {'fax': '425-739-0339', 'phone1': '425-739-4669'}}]}",Directions on Microsoft,www.DirectionsOnMicrosoft.com
"{'code': 'E', 'name': '201-500'}","{'_total': 1, 'values': [{'address': {'city': 'Midrand', 'postalCode': '1682', 'street1': 'North Building, Augrabies Road'}, 'contactInfo': {}}]}",EOH: A Microsoft Partner,www.eohamp.co.za
"{'code': 'D', 'name': '51-200'}","{'_total': 4, 'values': [{'address': {'city': 'Melbourne', 'postalCode': '3000', 'street1': ''}, 'contactInfo': {'fax': '03 9670 9904', 'phone1': '03 8643 6400'}}, {'address': {'city': 'Newtown', 'postalCode': '3220', 'street1': ''}, 'contactInfo': {'fax': '03 5223 3680', 'phone1': '03 5221 3746'}}, {'address': {'city': 'Brisbane', 'postalCode': '4000', 'street1': ''}, 'contactInfo': {'fax': '07 3229 2765', 'phone1': '07 3229 3717'}}, {'address': {'city': 'Sydney', 'postalCode': '2000', 'street1': ''}, 'contactInfo': {'fax': '', 'phone1': '1300 858 117'}}]}",LogicalTech | Microsoft Office 365 Support | Oracle DBA Support | Managed IT Support Melbourne |,www.logicaltech.com.au
