employeeCountRange,name,websiteUrl
"{'code': 'I', 'name': '10001+'}",Nike,http://jobs.nike.com/
,Niké,
,Nikè,
"{'code': 'D', 'name': '51-200'}","Nike Communications, Inc.",http://www.nikecomm.com
"{'code': 'D', 'name': '51-200'}",NIKE Group - The RegTech Company,https://nikegroup.it/it/
"{'code': 'D', 'name': '51-200'}",NIKE consulting,www.nikeconsulting.it
"{'code': 'C', 'name': '11-50'}",Nike Web Consulting,http://www.nikeconsulting.com
"{'code': 'F', 'name': '501-1000'}",Nike Stadium Milan,http://nikestadiums.com/category/cities/milan/
"{'code': 'C', 'name': '11-50'}",Nike SB,
"{'code': 'B', 'name': '2-10'}",Nike do Brasil Comércio e Participações Ltda.,
