employeeCountRange,name,websiteUrl
"{'code': 'B', 'name': '2-10'}",The 6 Monthers,www.6monthers.com
"{'code': 'B', 'name': '2-10'}",Growthics : Growth Hacking Services,www.growthics.com
"{'code': 'C', 'name': '11-50'}",Faskera Pte. Ltd.,www.faskera.com
"{'code': 'B', 'name': '2-10'}",UniCoach,www.unicoach.de
,Shanka Samadhan,https://sites.google.com/view/shankasamadhan/home
"{'code': 'B', 'name': '2-10'}",zubbit.io,http://www.zubbit.io
"{'code': 'B', 'name': '2-10'}",Digital Timelines Ltd,www.digitaltimelines.co.uk
"{'code': 'B', 'name': '2-10'}",The Know Collective,theknowcollective.com
"{'code': 'B', 'name': '2-10'}",Belinda Corani Interiors,http://www.homeconscious.com
"{'code': 'B', 'name': '2-10'}",Maven App,https://www.mavenapp.in
