employeeCountRange,name,websiteUrl
"{'code': 'I', 'name': '10001+'}",Telefónica,www.telefonica.com
"{'code': 'I', 'name': '10001+'}",Telefônica Brasil,www.telefonica.com.br
"{'code': 'H', 'name': '5001-10000'}",Telefónica Germany,https://jobs.telefonica.com/?locale=de_DE
"{'code': 'E', 'name': '201-500'}",Telefónica Educación Digital,www.telefonicaeducaciondigital.com
"{'code': 'F', 'name': '501-1000'}",Telefónica del Sur S.A.,www.telsur.cl
"{'code': 'D', 'name': '51-200'}",Telefonica On The Spot Services,http://www.onthespot.com
"{'code': 'I', 'name': '10001+'}",Telefónica Business Solutions Mx,http://www2.movistar.com.mx/empresas/
"{'code': 'E', 'name': '201-500'}",Telefônica Educação Digital Brasil,http://www.telefonicaeducaciondigital.com/
"{'code': 'D', 'name': '51-200'}",Telefónica NEXT,http://next.telefonica.de
"{'code': 'C', 'name': '11-50'}",Telefónica Educación Digital Peru,www.telefonicaeducaciondigital.com
"{'code': 'I', 'name': '10001+'}",O2 (Telefónica UK),http://www.o2.co.uk/
"{'code': 'C', 'name': '11-50'}",Telefónica Open Future Chile,www.openfuture.org
"{'code': 'B', 'name': '2-10'}",Telefónica Open Future - Wayra Colombia,https://www.openfuture.org/
"{'code': 'C', 'name': '11-50'}",11811 NUEVA INFORMACIÓN TELEFÓNICA,http://www.11811.es
"{'code': 'C', 'name': '11-50'}",Telefónica del Norte,http://www.telefonicadelnorte.cl
"{'code': 'C', 'name': '11-50'}",Anura Central Telefónica en la Nube,http://www.anura.com.ar?utm_source=LinkedIn
"{'code': 'B', 'name': '2-10'}",Telefonica SUD S.R.L.,
"{'code': 'E', 'name': '201-500'}",Fundación Telefónica,https://www.fundaciontelefonica.com/
"{'code': 'E', 'name': '201-500'}",Programa de Empleabilidad Joven de Fundación Telefónica,https://www.fundaciontelefonica.com/empleabilidad/
"{'code': 'H', 'name': '5001-10000'}",Atención Telefónica,www.atenciontelefonica.com.mx
"{'code': 'G', 'name': '1001-5000'}",CATSA (Centro de Asistencia Telefónica S.A.),http://www.cat.es/
"{'code': 'D', 'name': '51-200'}",La Telefonica s.r.l.,www.latelefonica.it
"{'code': 'D', 'name': '51-200'}",Fundación Telefónica México,http://www.fundaciontelefonica.com.mx/
"{'code': 'G', 'name': '1001-5000'}",Publicis,PublicisNA.com
