employeeCountRange,name,websiteUrl
"{'code': 'C', 'name': '11-50'}",Zara S.r.l.,www.zarashoes.it
"{'code': 'H', 'name': '5001-10000'}",ZARA HOME,www.zarahome.com
"{'code': 'F', 'name': '501-1000'}",ZARA CHILE S.A.,INDITEX.COM
"{'code': 'B', 'name': '2-10'}",Zara Recruitment,www.zararec.com
"{'code': 'C', 'name': '11-50'}",Zara Creative,www.zaracreative.com
"{'code': 'D', 'name': '51-200'}",Zara Kids,
"{'code': 'E', 'name': '201-500'}",ZARA FRANCE,
"{'code': 'E', 'name': '201-500'}",Zara Consultancy Services Private Limited,www.zaraadvisory.com
"{'code': 'B', 'name': '2-10'}",ZARA HOME UK LIMITED,http://www.zarahome.com/inditex-sel/?redirect=true
"{'code': 'G', 'name': '1001-5000'}",Zara Brasil,zarahome.com.br
