employeeCountRange,name,websiteUrl
"{'code': 'I', 'name': '10001+'}",ZF Group,http://www.zf.com
"{'code': 'I', 'name': '10001+'}",Siemens,http://www.siemens.com
"{'code': 'I', 'name': '10001+'}",SAP,www.sap.com
"{'code': 'I', 'name': '10001+'}",DHL,http://www.dhl.com
"{'code': 'I', 'name': '10001+'}",Deutsche Bank,https://www.db.com
"{'code': 'I', 'name': '10001+'}",Bayer,https://career.bayer.com
"{'code': 'I', 'name': '10001+'}",BASF,https://www.basf.com
"{'code': 'I', 'name': '10001+'}",BMW Group,https://www.bmwgroup.com/careers
"{'code': 'I', 'name': '10001+'}",Boehringer Ingelheim,www.boehringer-ingelheim.com
"{'code': 'I', 'name': '10001+'}",adidas,http://www.adidas-group.com/
"{'code': 'I', 'name': '10001+'}",Volkswagen AG,http://vwgroup.to/CzoM30j1OjX
"{'code': 'I', 'name': '10001+'}",AUDI AG,http://www.audi.com
"{'code': 'I', 'name': '10001+'}",Henkel,www.henkel.com
"{'code': 'I', 'name': '10001+'}",Siemens Healthineers,http://www.siemens.com/healthineers
"{'code': 'I', 'name': '10001+'}",Continental,http://www.continental-corporation.com/
"{'code': 'I', 'name': '10001+'}",Bayer Pharmaceuticals,http://pharma.bayer.com/en/imprint/
"{'code': 'I', 'name': '10001+'}",Allianz,http://www.allianz.com/careers
"{'code': 'I', 'name': '10001+'}",Sandoz,www.sandoz.com
"{'code': 'I', 'name': '10001+'}",PUMA Group,http://about.puma.com/en/careers
"{'code': 'I', 'name': '10001+'}",Bosch,www.bosch.com
"{'code': 'I', 'name': '10001+'}",Lufthansa,http://lufthansa.com
"{'code': 'I', 'name': '10001+'}",HUGO BOSS,www.hugoboss.com
"{'code': 'I', 'name': '10001+'}",Bayer Crop Science,www.cropscience.bayer.com
"{'code': 'I', 'name': '10001+'}",thyssenkrupp,www.thyssenkrupp.com/career
"{'code': 'I', 'name': '10001+'}",T-Systems International GmbH,www.t-systems.com
"{'code': 'I', 'name': '10001+'}",Merck Group,http://www.merckgroup.com
"{'code': 'I', 'name': '10001+'}",GfK,http://www.gfk.com
"{'code': 'I', 'name': '10001+'}",C&A,c-a.com/corporate
"{'code': 'I', 'name': '10001+'}",The Linde Group,http://www.the-linde-group.com/en/careers/
"{'code': 'I', 'name': '10001+'}",Evonik,http://www.evonik.com
"{'code': 'I', 'name': '10001+'}",Beiersdorf,http://www.beiersdorf.com
"{'code': 'I', 'name': '10001+'}",Infineon Technologies,www.infineon.com
"{'code': 'I', 'name': '10001+'}",Healthcare Business of Merck,http://merckgroup.com
