employeeCountRange,name,websiteUrl
"{'code': 'I', 'name': '10001+'}",Telefónica,www.telefonica.com
"{'code': 'H', 'name': '5001-10000'}",IPG Mediabrands,careers.ipgmediabrands.com
"{'code': 'I', 'name': '10001+'}",Banco Santander,www.santander.com
"{'code': 'I', 'name': '10001+'}",Inditex,http://www.inditex.com
"{'code': 'I', 'name': '10001+'}",Indra,www.indracompany.com
"{'code': 'I', 'name': '10001+'}",Repsol,www.repsol.com
"{'code': 'I', 'name': '10001+'}",everis,http://www.everis.com
"{'code': 'I', 'name': '10001+'}",Abengoa,www.abengoa.com
"{'code': 'I', 'name': '10001+'}",BBVA,http://bbva.info/bbvacareers
"{'code': 'I', 'name': '10001+'}",MANGO,www.mango.com
