iddist;iddpto;IDPROV;NOMBDIST;NOMBPROV;NOMBDEP;DCTO;LEY;FECHA;NOM_CAP
230110;23;2301;CORONEL GREGORIO ALBARRACIN LANCHIPA;TACNA;TACNA;LEY;27415;02.02.01;ALFONSO UGARTE
230108;23;2301;POCOLLAY;TACNA;TACNA;LEY;13069;15.01.59;POCOLLAY
230103;23;2301;CALANA;TACNA;TACNA;LEY;S/N;20/08/1872;CALANA
230101;23;2301;TACNA;TACNA;TACNA;-;-;EPOCA INDEP.;TACNA
230109;23;2301;SAMA;TACNA;TACNA;-;-;EPOCA INDEP.;LAS YARAS
230104;23;2301;CIUDAD NUEVA;TACNA;TACNA;LEY;25851;16.11.92;CIUDAD NUEVA
230303;23;2303;ITE;JORGE BASADRE;TACNA;LEY;13660;12.06.61;ITE
180301;18;1803;ILO;ILO;MOQUEGUA;-;-;EPOCA INDEP.;ILO
230102;23;2301;ALTO DE LA ALIANZA;TACNA;TACNA;LEY;23828;09.05.84;LA ESPERANZA
230106;23;2301;PACHIA;TACNA;TACNA;LEY;S/N;02/01/1857;PACHIA
230404;23;2304;ESTIQUE-PAMPA;TARATA;TACNA;LEY;12539;12.01.56;ESTIQUE-PAMPA
230403;23;2304;ESTIQUE;TARATA;TACNA;LEY;S/N;02/01/1857;ESTIQUE
230407;23;2304;TARUCACHI;TARATA;TACNA;LEY;S/N;12/11/1874;TARUCACHI
230105;23;2301;INCLAN;TACNA;TACNA;LEY;12445;24.11.55;SAMA GRANDE
230301;23;2303;LOCUMBA;JORGE BASADRE;TACNA;DEC.;S/N;27/06/1855;LOCUMBA
180302;18;1803;EL ALGARROBAL;ILO;MOQUEGUA;D.L.;18298;26.05.70;EL ALGARROBAL
230107;23;2301;PALCA;TACNA;TACNA;LEY;13238;08.06.59;PALCA
230402;23;2304;HEROES ALBARRACIN;TARATA;TACNA;LEY;11979;30.01.53;CHUCATAMANI
230204;23;2302;CURIBAYA;CANDARAVE;TACNA;LEY;S/N;05/02/1875;CURIBAYA
230405;23;2304;SITAJARA;TARATA;TACNA;LEY;12414;07.11.55;SITAJARA
230206;23;2302;QUILAHUANI;CANDARAVE;TACNA;LEY;12194;15.02.55;QUILAHUANI
180303;18;1803;PACOCHA;ILO;MOQUEGUA;D.L.;18298;26.05.70;PUEBLO NUEVO
230401;23;2304;TARATA;TARATA;TACNA;-;-;EPOCA INDEP.;TARATA
230205;23;2302;HUANUARA;CANDARAVE;TACNA;LEY;10158;05.01.45;HUANUARA
230408;23;2304;TICACO;TARATA;TACNA;LEY;S/N;12/11/1874;TICACO
230302;23;2303;ILABAYA;JORGE BASADRE;TACNA;-;-;EPOCA INDEP.;ILABAYA
180104;18;1801;SAMEGUA;MARISCAL NIETO;MOQUEGUA;LEY;S/N;08/11/1894;SAMEGUA
40706;4;407;PUNTA DE BOMBON;ISLAY;AREQUIPA;LEY;S/N;03/01/1879;PUNTA DE BOMBON
230202;23;2302;CAIRANI;CANDARAVE;TACNA;LEY;11902;04.12.52;CAIRANI
230406;23;2304;SUSAPAYA;TARATA;TACNA;LEY;12136;26.10.54;SUSAPAYA
40703;4;407;DEAN VALDIVIA;ISLAY;AREQUIPA;LEY;11870;23.10.52;LA CURVA
230203;23;2302;CAMILACA;CANDARAVE;TACNA;LEY;24887;06.09.88;CAMILACA
40705;4;407;MEJIA;ISLAY;AREQUIPA;L.R.;8;27.01.20;MEJIA
210502;21;2105;CAPAZO;EL COLLAO;PUNO;LEY;24891;29.09.88;CAPAZO
230201;23;2302;CANDARAVE;CANDARAVE;TACNA;-;-;EPOCA INDEP.;CANDARAVE
40704;4;407;ISLAY;ISLAY;AREQUIPA;LEY;S/N;02/01/1857;ISLAY (MATARANI)
180106;18;1801;TORATA;MARISCAL NIETO;MOQUEGUA;-;-;EPOCA INDEP.;TORATA
180101;18;1801;MOQUEGUA;MARISCAL NIETO;MOQUEGUA;-;-;EPOCA INDEP.;MOQUEGUA
180103;18;1801;CUCHUMBAYA;MARISCAL NIETO;MOQUEGUA;LEY;9940;31.01.44;CUCHUMBAYA
210405;21;2104;PISACOMA;CHUCUITO;PUNO;-;-;EPOCA INDEP.;PISACOMA
40702;4;407;COCACHACRA;ISLAY;AREQUIPA;LEY;S/N;03/01/1879;COCACHACRA
40701;4;407;MOLLENDO;ISLAY;AREQUIPA;LEY;S/N;03/01/1879;MOLLENDO
180205;18;1802;LA CAPILLA;GENERAL SANCHEZ CERRO;MOQUEGUA;LEY;9617;30.09.42;LA CAPILLA
40201;4;402;CAMANA;CAMANA;AREQUIPA;-;-;EPOCA INDEP.;CAMANA
180209;18;1802;QUINISTAQUILLAS;GENERAL SANCHEZ CERRO;MOQUEGUA;LEY;12337;10.06.55;QUINISTAQUILLAS
40202;4;402;JOSE MARIA QUIMPER;CAMANA;AREQUIPA;LEY;9999;03.11.44;EL CARDO
210404;21;2104;KELLUYO;CHUCUITO;PUNO;LEY;23417;01.06.82;KELLUYO
180105;18;1801;SAN CRISTOBAL;MARISCAL NIETO;MOQUEGUA;LEY;9940;31.01.44;CALACOA
210402;21;2104;DESAGUADERO;CHUCUITO;PUNO;-;-;EPOCA INDEP.;DESAGUADERO
40208;4;402;SAMUEL PASTOR;CAMANA;AREQUIPA;LEY;9999;03.11.44;LA PAMPA
40115;4;401;QUEQUE„A;AREQUIPA;AREQUIPA;-;-;EPOCA INDEP.;QUEQUE„A
180201;18;1802;OMATE;GENERAL SANCHEZ CERRO;MOQUEGUA;-;-;EPOCA INDEP.;OMATE
210504;21;2105;SANTA ROSA;EL COLLAO;PUNO;D.L.;S/N;02/05/1854;MAZO CRUZ
40127;4;401;YARABAMBA;AREQUIPA;AREQUIPA;LEY;9799;25.01.43;YARABAMBA
40114;4;401;POLOBAYA;AREQUIPA;AREQUIPA;LEY;11845;27.05.52;POLOBAYA GRANDE
40111;4;401;MOLLEBAYA;AREQUIPA;AREQUIPA;LEY;11845;27.05.52;MOLLEBAYA
180102;18;1801;CARUMAS;MARISCAL NIETO;MOQUEGUA;-;-;EPOCA INDEP.;CARUMAS
180208;18;1802;PUQUINA;GENERAL SANCHEZ CERRO;MOQUEGUA;-;-;EPOCA INDEP.;PUQUINA
40207;4;402;QUILCA;CAMANA;AREQUIPA;LEY;S/N;02/01/1857;QUILCA
180203;18;1802;COALAQUE;GENERAL SANCHEZ CERRO;MOQUEGUA;LEY;12563;26.01.56;COALAQUE
210403;21;2104;HUACULLANI;CHUCUITO;PUNO;-;-;EPOCA INDEP.;HUACULLANI
40122;4;401;SOCABAYA;AREQUIPA;AREQUIPA;-;-;EPOCA INDEP.;SOCABAYA
40113;4;401;POCSI;AREQUIPA;AREQUIPA;-;-;EPOCA INDEP.;POCSI
