Código Comuna hasta 1999;Código Comuna desde 2000;Código Comuna desde 2008;Código Comuna desde 2010;Nombre Comuna;Código Comuna desde 2000;Código Comuna desde 2008;Código Comuna desde 2010;Provincia desde 2000;Código Comuna desde 2010;Código Provincia desde 2000;Provincia desde 2008;Código Provincia desde 2008;Provincia desde 2010;Código Provincia desde 2010;Nombre Región desde 2000;Código Región desde 2000;Nombre Región desde 2008;Código Región desde 2008;Nombre Servicio de Salud hasta 2007;Código Servicio Salud hasta 2007;Nombre Servicio de Salud desde 2008;Código Servicio Salud desde 2008
201;1201;15101;15101;Arica;01201;15101;15101;Arica  ;15101;012;Arica  ;151;Arica  ;151;De Tarapacá;01;De Arica y Parinacota;15;Arica;01;Arica;01
202;1202;15102;15102;Camarones;01202;15102;15102;Arica  ;15102;012;Arica  ;151;Arica  ;151;De Tarapacá;01;De Arica y Parinacota;15;Arica;01;Arica;01
205;1301;15201;15201;Putre;01301;15201;15201;Parinacota;15201;013;Parinacota;152;Parinacota;152;De Tarapacá;01;De Arica y Parinacota;15;Arica;01;Arica;01
206;1302;15202;15202;General Lagos;01302;15202;15202;Parinacota;15202;013;Parinacota;152;Parinacota;152;De Tarapacá;01;De Arica y Parinacota;15;Arica;01;Arica;01
210;1101;1101;1101;Iquique;01101;01101;01101;Iquique  ;1101;011;Iquique  ;011;Iquique  ;011;De Tarapacá;01;De Tarapacá;01;Iquique;02;Iquique;02
212;1102;1402;1402;Camiña;01102;01402;01402;Iquique  ;1402;011;Tamarugal;014;Tamarugal;014;De Tarapacá;01;De Tarapacá;01;Iquique;02;Iquique;02
213;1103;1403;1403;Colchane;01103;01403;01403;Iquique  ;1403;011;Tamarugal;014;Tamarugal;014;De Tarapacá;01;De Tarapacá;01;Iquique;02;Iquique;02
211;1104;1404;1404;Huara;01104;01404;01404;Iquique  ;1404;011;Tamarugal;014;Tamarugal;014;De Tarapacá;01;De Tarapacá;01;Iquique;02;Iquique;02
214;1105;1405;1405;Pica;01105;01405;01405;Iquique  ;1405;011;Tamarugal;014;Tamarugal;014;De Tarapacá;01;De Tarapacá;01;Iquique;02;Iquique;02
215;1106;1401;1401;Pozo Almonte;01106;01401;01401;Iquique  ;1401;011;Tamarugal;014;Tamarugal;014;De Tarapacá;01;De Tarapacá;01;Iquique;02;Iquique;02
210;1107;1107;1107;Alto Hospicio;01107;01107;01107;Iquique  ;1107;011;Iquique  ;011;Iquique  ;011;De Tarapacá;01;De Tarapacá;01;Iquique;02;Iquique;02
230;2101;2101;2101;Antofagasta;02101;02101;02101;Antofagasta;2101;021;Antofagasta;021;Antofagasta;021;De Antofagasta;02;De Antofagasta;02;Antofagasta;03;Antofagasta;03
231;2102;2102;2102;Mejillones;02102;02102;02102;Antofagasta;2102;021;Antofagasta;021;Antofagasta;021;De Antofagasta;02;De Antofagasta;02;Antofagasta;03;Antofagasta;03
232;2103;2103;2103;Sierra Gorda;02103;02103;02103;Antofagasta;2103;021;Antofagasta;021;Antofagasta;021;De Antofagasta;02;De Antofagasta;02;Antofagasta;03;Antofagasta;03
233;2104;2104;2104;Taltal;02104;02104;02104;Antofagasta;2104;021;Antofagasta;021;Antofagasta;021;De Antofagasta;02;De Antofagasta;02;Antofagasta;03;Antofagasta;03
225;2201;2201;2201;Calama;02201;02201;02201;El Loa;2201;022;El Loa;022;El Loa;022;De Antofagasta;02;De Antofagasta;02;Antofagasta;03;Antofagasta;03
226;2202;2202;2202;Ollagüe;02202;02202;02202;El Loa;2202;022;El Loa;022;El Loa;022;De Antofagasta;02;De Antofagasta;02;Antofagasta;03;Antofagasta;03
227;2203;2203;2203;San Pedro de Atacama;02203;02203;02203;El Loa;2203;022;El Loa;022;El Loa;022;De Antofagasta;02;De Antofagasta;02;Antofagasta;03;Antofagasta;03
220;2301;2301;2301;Tocopilla;02301;02301;02301;Tocopilla  ;2301;023;Tocopilla  ;023;Tocopilla  ;023;De Antofagasta;02;De Antofagasta;02;Antofagasta;03;Antofagasta;03
221;2302;2302;2302;María Elena;02302;02302;02302;Tocopilla  ;2302;023;Tocopilla  ;023;Tocopilla  ;023;De Antofagasta;02;De Antofagasta;02;Antofagasta;03;Antofagasta;03
240;3101;3101;3101;Copiapó;03101;03101;03101;Copiapó  ;3101;031;Copiapó  ;031;Copiapó  ;031;De Atacama;03;De Atacama;03;Atacama;04;Atacama;04
241;3102;3102;3102;Caldera;03102;03102;03102;Copiapó  ;3102;031;Copiapó  ;031;Copiapó  ;031;De Atacama;03;De Atacama;03;Atacama;04;Atacama;04
242;3103;3103;3103;Tierra Amarilla;03103;03103;03103;Copiapó  ;3103;031;Copiapó  ;031;Copiapó  ;031;De Atacama;03;De Atacama;03;Atacama;04;Atacama;04
235;3201;3201;3201;Chañaral;03201;03201;03201;Chañaral  ;3201;032;Chañaral  ;032;Chañaral  ;032;De Atacama;03;De Atacama;03;Atacama;04;Atacama;04
236;3202;3202;3202;Diego de Almagro;03202;03202;03202;Chañaral  ;3202;032;Chañaral  ;032;Chañaral  ;032;De Atacama;03;De Atacama;03;Atacama;04;Atacama;04
245;3301;3301;3301;Vallenar;03301;03301;03301;Huasco;3301;033;Huasco;033;Huasco;033;De Atacama;03;De Atacama;03;Atacama;04;Atacama;04
248;3302;3302;3302;Alto del Carmen;03302;03302;03302;Huasco;3302;033;Huasco;033;Huasco;033;De Atacama;03;De Atacama;03;Atacama;04;Atacama;04
246;3303;3303;3303;Freirina;03303;03303;03303;Huasco;3303;033;Huasco;033;Huasco;033;De Atacama;03;De Atacama;03;Atacama;04;Atacama;04
247;3304;3304;3304;Huasco;03304;03304;03304;Huasco;3304;033;Huasco;033;Huasco;033;De Atacama;03;De Atacama;03;Atacama;04;Atacama;04
250;4101;4101;4101;La Serena;04101;04101;04101;Elqui;4101;041;Elqui;041;Elqui;041;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
252;4102;4102;4102;Coquimbo;04102;04102;04102;Elqui;4102;041;Elqui;041;Elqui;041;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
253;4103;4103;4103;Andacollo;04103;04103;04103;Elqui;4103;041;Elqui;041;Elqui;041;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
251;4104;4104;4104;La Higuera;04104;04104;04104;Elqui;4104;041;Elqui;041;Elqui;041;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
255;4105;4105;4105;Paiguano;04105;04105;04105;Elqui;4105;041;Elqui;041;Elqui;041;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
254;4106;4106;4106;Vicuña;04106;04106;04106;Elqui;4106;041;Elqui;041;Elqui;041;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
270;4201;4201;4201;Illapel;04201;04201;04201;Choapa;4201;042;Choapa;042;Choapa;042;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
273;4202;4202;4202;Canela;04202;04202;04202;Choapa;4202;042;Choapa;042;Choapa;042;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
272;4203;4203;4203;Los Vilos;04203;04203;04203;Choapa;4203;042;Choapa;042;Choapa;042;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
271;4204;4204;4204;Salamanca;04204;04204;04204;Choapa;4204;042;Choapa;042;Choapa;042;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
260;4301;4301;4301;Ovalle;04301;04301;04301;Limari;4301;043;Limari;043;Limari;043;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
263;4302;4302;4302;Combarbalá;04302;04302;04302;Limari;4302;043;Limari;043;Limari;043;De Coquimbo;04;De Coquimbo;04;Coquimbo;05;Coquimbo;05
